group,year,학폭피해경험 무,학폭피해경험 유
초등학교,2016,97.18571429,2.814285714
초등학교,2018,97.5,2.5
초등학교,2020,97.55714286,2.442857143
초등학교,2022,94.41666667,5.583333333
중학교,2016,97.94285714,2.057142857
중학교,2018,97.62857143,2.371428571
중학교,2020,98.67142857,1.328571429
중학교,2022,95.6,4.4
고등학교,2016,98.07142857,1.928571429
고등학교,2018,98.42857143,1.571428571
고등학교,2020,99.27142857,0.728571429
고등학교,2022,98.18333333,1.816666667
