group,year,학폭피해경험 무,학폭피해경험 유
남학교,2016,97.22857143,2.771428571
남학교,2018,97.84285714,2.157142857
남학교,2020,98.88571429,1.114285714
남학교,2022,96.36666667,3.633333333
여학교,2016,99.11428571,0.885714286
여학교,2018,98.97142857,1.028571429
여학교,2020,99.05714286,0.942857143
여학교,2022,98.61666667,1.383333333
남녀공학,2016,97.67142857,2.328571429
남녀공학,2018,97.74285714,2.257142857
남녀공학,2020,98.4,1.6
남녀공학,2022,95.76666667,4.233333333
