group,year,학폭피해경험 무,학폭피해경험 유
남자,2016,97.18571429,2.814285714
남자,2018,97.57142857,2.428571429
남자,2020,98.41428571,1.585714286
남자,2022,95.31666667,4.683333333
여자,2016,98.4,1.6
여자,2018,98.25714286,1.742857143
여자,2020,98.67142857,1.328571429
여자,2022,96.86666667,3.133333333
