characteristic,year,help_exp_yes,help_exp_no
남녀공학,2016,14.6,85.4
남녀공학,2018,16.7,83.3
남녀공학,2020,20.5,79.5
남녀공학,2022,19.5,80.5
남학교,2016,12.9,87.1
남학교,2018,4.8,95.2
남학교,2020,9.5,90.5
남학교,2022,25.3,74.7
여학교,2016,14.1,85.9
여학교,2018,10.5,89.5
여학교,2020,23.7,76.3
여학교,2022,18.1,81.9
