year,chracteristic,help_admin,help_admin_hospital,help_admin_psycho,help_admin_bully,help_admin_child,help_admin_etc
2018,남자,72,9.8,15,0,2.9,8.4
2018,여자,90,7.3,15.6,0,2.8,1.6
2018,초등학교,80.4,5.4,10.4,0,1.9,7.8
2018,중학교,85.7,6.4,15.3,0,2.6,3.2
2018,고등학교,75.8,21.4,28.4,0,5.9,0
2018,초4,68.4,6.4,12.9,0,4.8,18
2018,초5,90.7,2.8,7.5,0,0,1.5
2018,초6,85.3,7.9,10.8,0,0,0
2018,중1,78.8,4.5,13.7,0,7.8,5
2018,중2,95.6,7.6,10.7,0,0,0
2018,중3,81,7.1,23.1,0,0,5.3
2018,고1,74.9,10.5,28.1,0,4.5,0
2018,고2,71.7,28.1,44.4,0,8.8,0
2018,고3,79.7,23,14.9,0,4.3,0
2018,남학교,42.2,0,24.7,0,0,33.1
2018,여학교,94.7,13.6,26.6,0,0,0
2018,남녀공학,83,8.5,14.3,0,3.1,3.6
