year,chracteristic,help_admin,help_admin_hospital,help_admin_psycho,help_admin_bully,help_admin_child,help_admin_etc
2020,남자,60.8,21.8,18.4,16.6,0,0
2020,여자,86,9.7,22,7.1,4.2,0
2020,남학교,62.3,0,0,37.7,0,0
2020,여학교,92.2,0,26.1,0,7.8,0
2020,남녀공학,72.8,17.8,20.6,11.5,1.7,0
2020,초등학교,63,19.2,17.6,12.7,0,0
2020,중학교,83.8,12,23.4,11.2,6.7,0
2020,고등학교,85.5,11.7,21.6,8.8,0,0
2020,초4,54.2,19.8,15.8,21.1,0,0
2020,초5,75.2,18.5,5.2,9.8,0,0
2020,초6,57.7,19.2,37.4,5.6,0,0
2020,중1,82.7,14.2,32.1,19.4,0,0
2020,중2,76.4,12.3,26.2,12.4,13.7,0
2020,중3,100,9,8.4,0,0,0
2020,고1,78,7.9,13.5,11.7,0,0
2020,고2,100,0,36.5,0,0,0
2020,고3,79.5,36.3,15.8,15.8,0,0
