region,정원
서울특별시,139
부산광역시,30
대구광역시,30
인천광역시,30
광주광역시,29
대전광역시,34
울산광역시,15
경기도,68
강원도,30
충청남도,18
전라북도,15
전라남도,12
경상북도,15
경상남도,10
제주특별자치도,49
