region,정원
서울특별시,153
부산광역시,118
대구광역시,134
인천광역시,70
광주광역시,32
대전광역시,20
울산광역시,27
경기도,49
강원도,24
충청북도,37
충청남도,30
전라북도,110
전라남도,50
경상북도,119
경상남도,45
