시도청,검거건수,기소_구속,기소_불구속,불기소,가정보호 사건송치,기타,기소율,code
서울,7730,68,2493,1946,4209,308,33.1,11
부산,1731,28,757,352,794,87,45.3,26
대구,2060,11,732,655,995,110,36.1,27
인천,2898,35,691,429,2169,66,25.1,28
광주,953,10,272,166,585,30,29.6,29
대전,1557,10,457,294,1045,87,30.0,30
울산,700,5,254,138,359,43,37.0,31
세종,137,0,43,24,72,13,31.4,36
경기남부,12158,138,3041,2762,7640,726,26.1,41
경기북부,3125,22,1155,913,1433,132,37.7,41
강원,1208,19,441,149,628,77,38.1,42
충북,1009,13,346,227,554,42,35.6,43
충남,1376,26,432,295,715,79,33.3,44
전북,1057,16,574,163,466,33,55.8,45
전남,1813,15,597,308,1035,80,33.8,46
경북,1842,23,882,378,792,38,49.1,47
경남,2211,30,1080,398,967,63,50.2,48
제주,1251,27,254,192,861,27,22.5,50
